work_year,experience_level,job_title,salary,salary_in_usd,company_size
2020,EN,AI Scientist,300000,45896,S
2021,MI,3D Computer Vision Researcher,400000,5409,M
2021,MI,Applied Data Scientist,68000,54238,L
2021,EN,AI Scientist,12000,12000,S
2021,EN,AI Scientist,12000,12000,M
2021,EN,Applied Data Scientist,80000,110037,L
2021,MI,Applied Machine Learning Scientist,38400,38400,M
2021,MI,Applied Machine Learning Scientist,423000,423000,L
2021,EN,AI Scientist,1335000,18053,S
2021,SE,AI Scientist,55000,55000,L
2021,SE,Staff Data Scientist,105000,105000,M
2022,EX,Analytics Engineer,175000,175000,M
2022,EX,Analytics Engineer,135000,135000,M
2022,MI,AI Scientist,120000,120000,M
2022,EN,Applied Machine Learning Scientist,29000,31875,M
2022,MI,Applied Machine Learning Scientist,75000,75000,L
2022,MI,Applied Data Scientist,157000,157000,L
2022,SE,Applied Data Scientist,380000,380000,L
2022,SE,Applied Data Scientist,177000,177000,L
2022,SE,Analytics Engineer,205300,205300,M
2022,SE,Analytics Engineer,184700,184700,M
2022,MI,AI Scientist,200000,200000,L
