work_year,job_title,salary,salary_in_usd,company_size
2020,Computer Vision Engineer,60000,60000,S
2021,Cloud Data Engineer,120000,89294,L
2021,Computer Vision Software Engineer,70000,70000,M
2021,Computer Vision Software Engineer,81000,95746,S
2021,Computer Vision Engineer,24000,24000,M
2021,Cloud Data Engineer,160000,160000,S
2021,Computer Vision Engineer,180000,28609,S
2021,Computer Vision Engineer,102000,18907,M
2021,Staff Data Scientist,105000,105000,M
2022,Computer Vision Engineer,125000,125000,M
2022,Computer Vision Software Engineer,150000,150000,S
2022,Computer Vision Engineer,10000,10000,M
